,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,NORMALIZED_PLAYER_NAME
122,2019,1629648,Jordan,Bone,Jordan Bone,SG,73.5,6' 1.5'',74.75,6' 2.75'',179.0,75.25,6' 3.25'',95.0,7' 11'',5.0,7.5,9.25,36.0,42.5,9.97,2.78,3.08,7.0,jordan-bone
123,2003,2588,Matt,Bonner,Matt Bonner,PF-SF,80.5,6' 8.5'',,,242.0,80.75,6' 8.75'',105.5,8' 9.5'',13.6,,,27.0,32.0,11.52,,3.32,20.0,matt-bonner
124,2010,202344,Trevor,Booker,Trevor Booker,PF,78.25,6' 6.25'',79.5,6' 7.5'',235.8,81.75,6' 9.75'',106.0,8' 10'',7.3,9.0,9.5,31.0,36.0,11.15,,3.1,22.0,trevor-booker
125,2015,1626164,Devin,Booker,Devin Booker,SG,76.5,6' 4.5'',77.75,6' 5.75'',205.8,80.25,6' 8.25'',102.5,8' 6.5'',8.3,8.75,9.0,27.5,34.5,10.27,2.75,3.28,8.0,devin-booker
126,2002,2430,Carlos,Boozer,Carlos Boozer,PF,79.75,6' 7.75'',,,258.0,86.25,7' 2.25'',108.5,9' 0.5'',,,,26.5,28.5,10.77,,3.31,13.0,carlos-boozer
127,2002,2414,Curtis,Borchardt,Curtis Borchardt,C,82.75,6' 10.75'',,,238.0,86.5,7' 2.5'',112.0,9' 4'',,,,24.0,27.0,12.56,,3.63,7.0,curtis-borchardt
128,2003,2547,Chris,Bosh,Chris Bosh,PF,82.25,6' 10.25'',,,225.0,87.5,7' 3.5'',109.0,9' 1'',8.0,,,30.5,33.0,11.8,,3.3,9.0,chris-bosh
129,2017,1628449,Chris,Boucher,Chris Boucher,PF,80.0,6' 8'',81.5,6' 9.5'',182.2,88.0,7' 4'',110.5,9' 2.5'',5.4,9.25,10.5,,,,,,,chris-boucher
130,2001,2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,C,83.5,6' 11.5'',,,245.0,88.0,7' 4'',111.0,9' 3'',6.0,,,26.5,31.0,11.84,,3.33,6.0,ruben-boumtje-boumtje
131,2018,1628968,Brian,Bowen,Brian Bowen,SG-SF,78.25,6' 6.25'',79.5,6' 7.5'',202.0,82.25,6' 10.25'',103.5,8' 7.5'',7.6,9.0,10.0,30.5,34.0,11.58,3.33,3.28,0.0,brian-bowen
132,2019,1628968,Brian,Bowen II,Brian Bowen II,SF,78.25,6' 6.25'',79.5,6' 7.5'',200.0,82.0,6' 10'',103.0,8' 7'',6.5,8.5,9.75,32.0,35.5,10.98,3.21,3.26,1.0,brian-bowen-ii
133,2004,12174,Tim,Bowers,Tim Bowers,PG-SG,72.5,6' 0.5'',73.75,6' 1.75'',181.0,81.0,6' 9'',98.0,8' 2'',2.6,,,37.0,43.5,11.24,,3.21,13.0,tim-bowers
134,2001,12035,Calvin,Bowman,Calvin Bowman,PF,80.75,6' 8.75'',,,214.0,83.5,6' 11.5'',104.0,8' 8'',8.6,,,28.5,34.5,11.96,,3.21,7.0,calvin-bowman
135,2006,200847,Brandon,Bowman,Brandon Bowman,SF,78.75,6' 6.75'',80.25,6' 8.25'',209.0,83.5,6' 11.5'',103.0,8' 7'',8.4,,,31.0,34.0,11.41,,3.31,24.0,brandon-bowman
136,2019,1629065,Ky,Bowman,Ky Bowman,PG,73.0,6' 1'',74.25,6' 2.25'',181.2,79.0,6' 7'',98.0,8' 2'',4.9,8.25,9.0,27.5,33.0,11.11,3.11,3.26,4.0,ky-bowman
137,2003,2651,Jermaine,Boyette,Jermaine Boyette,PG-SG,73.0,6' 1'',,,187.0,76.0,6' 4'',96.0,8' 0'',7.3,,,29.0,35.5,11.2,,3.07,14.0,jermaine-boyette
138,2010,202342,Craig,Brackins,Craig Brackins,PF-SF,80.5,6' 8.5'',81.75,6' 9.75'',229.0,84.0,7' 0'',109.0,9' 1'',7.9,9.5,11.25,26.0,35.0,11.65,,3.39,6.0,craig-brackins
139,2001,2214,Michael,Bradley,Michael Bradley,PF,81.5,6' 9.5'',,,227.0,85.5,7' 1.5'',107.0,8' 11'',9.3,,,27.0,30.0,11.11,,3.35,13.0,michael-bradley
140,2008,12239,Ramel,Bradley,Ramel Bradley,PG-SG,73.25,6' 1.25'',74.25,6' 2.25'',184.0,77.0,6' 5'',98.0,8' 2'',5.7,,,24.5,29.5,10.68,,3.24,9.0,ramel-bradley
141,2010,202340,Avery,Bradley,Avery Bradley,SG-PG,74.0,6' 2'',75.25,6' 3.25'',180.4,79.25,6' 7.25'',98.5,8' 2.5'',4.0,8.25,9.5,31.5,37.5,11.47,,3.14,2.0,avery-bradley
142,2017,1628396,Tony,Bradley,Tony Bradley,C,81.25,6' 9.25'',82.75,6' 10.75'',248.8,89.0,7' 5'',112.5,9' 4.5'',12.0,9.5,9.5,24.5,27.5,11.79,2.99,3.44,5.0,tony-bradley
143,2007,12206,Craig,Bradshaw,Craig Bradshaw,PF,80.0,6' 8'',81.75,6' 9.75'',240.0,85.5,7' 1.5'',106.5,8' 10.5'',12.1,,,26.0,28.0,11.88,,3.54,12.0,craig-bradshaw
144,2019,1629649,Ignas,Brazdeikis,Ignas Brazdeikis,SF,77.75,6' 5.75'',79.25,6' 7.25'',220.8,81.25,6' 9.25'',102.0,8' 6'',6.0,8.75,9.5,31.0,36.5,11.06,3.17,3.36,13.0,ignas-brazdeikis
145,2008,12240,Tyrone,Brazelton,Tyrone Brazelton,PG,70.0,5' 10'',71.0,5' 11'',166.0,73.75,6' 1.75'',94.0,7' 10'',8.1,,,30.0,34.0,11.59,,3.25,8.0,tyrone-brazelton
146,2002,2452,J.R.,Bremer,J.R. Bremer,SG-PG,73.25,6' 1.25'',,,188.0,74.25,6' 2.25'',96.0,8' 0'',,,,30.0,35.5,10.93,,3.1,24.0,jr-bremer
147,2001,2249,Jamison,Brewer,Jamison Brewer,PG,74.5,6' 2.5'',,,178.0,80.75,6' 8.75'',102.5,8' 6.5'',6.7,,,26.0,32.5,9.65,,3.15,12.0,jamison-brewer
148,2006,200758,Ronnie,Brewer,Ronnie Brewer,SG-PG,77.75,6' 5.75'',78.75,6' 6.75'',223.0,83.25,6' 11.25'',103.5,8' 7.5'',5.0,,,35.0,41.0,11.32,,3.14,19.0,ronnie-brewer
149,2007,201147,Corey,Brewer,Corey Brewer,SF-SG,78.0,6' 6'',79.75,6' 7.75'',185.0,80.25,6' 8.25'',103.0,8' 7'',4.2,,,30.5,36.5,11.69,,3.22,11.0,corey-brewer
150,2000,2056,Primoz,Brezec,Primoz Brezec,C,84.75,7' 0.75'',,,243.0,86.0,7' 2'',110.0,9' 2'',,,,26.0,29.5,11.53,,3.55,,primoz-brezec
151,2018,1628970,Miles,Bridges,Miles Bridges,SF,77.25,6' 5.25'',78.75,6' 6.75'',220.4,81.5,6' 9.5'',103.5,8' 7.5'',5.9,9.0,9.75,,,,,,,miles-bridges
152,2017,1628515,Isaiah,Briscoe,Isaiah Briscoe,PG,73.25,6' 1.25'',74.75,6' 2.75'',222.4,81.0,6' 9'',99.5,8' 3.5'',11.0,9.0,9.25,28.0,33.5,10.95,2.85,3.38,11.0,isaiah-briscoe
153,2019,1629052,O'Shae,Brissett,O'Shae Brissett,SF-PF,79.0,6' 7'',80.0,6' 8'',203.2,84.0,7' 0'',104.0,8' 8'',2.9,9.0,9.5,34.0,37.5,11.3,3.18,3.48,11.0,oshae-brissett
154,2016,1627763,Malcolm,Brogdon,Malcolm Brogdon,SG,75.75,6' 3.75'',77.5,6' 5.5'',223.0,82.5,6' 10.5'',98.0,8' 2'',5.4,9.0,10.25,30.5,35.5,10.77,2.64,3.31,,malcolm-brogdon
155,2007,201166,Aaron,Brooks,Aaron Brooks,PG,70.0,5' 10'',71.75,5' 11.75'',161.0,76.0,6' 4'',94.0,7' 10'',2.7,,,32.5,39.5,10.57,,3.2,6.0,aaron-brooks
156,2011,202705,Marshon,Brooks,Marshon Brooks,SG,76.25,6' 4.25'',77.25,6' 5.25'',194.6,85.0,7' 1'',101.0,8' 5'',5.2,9.0,10.5,34.0,38.5,10.74,,3.09,5.0,marshon-brooks
157,2017,1628415,Dillon,Brooks,Dillon Brooks,SG-SF,77.0,6' 5'',78.0,6' 6'',220.2,78.0,6' 6'',100.5,8' 4.5'',7.5,8.25,9.25,31.0,37.5,11.14,3.24,3.21,16.0,dillon-brooks
158,2000,2081,Ernest,Brown,Ernest Brown,C,82.0,6' 10'',,,222.5,85.25,7' 1.25'',109.5,9' 1.5'',,,,,,,,,2.0,ernest-brown
159,2001,2198,Kwame,Brown,Kwame Brown,PF-C,82.0,6' 10'',,,243.0,85.0,7' 1'',108.0,9' 0'',8.9,,,30.0,33.0,11.59,,3.45,17.0,kwame-brown
160,2001,2245,Damone,Brown,Damone Brown,SF,80.25,6' 8.25'',,,202.0,83.75,6' 11.75'',104.5,8' 8.5'',6.7,,,32.0,37.0,11.81,,3.27,6.0,damone-brown
161,2001,12031,SirValiant,Brown,SirValiant Brown,PG,71.0,5' 11'',,,176.0,76.0,6' 4'',92.5,7' 8.5'',6.7,,,31.0,39.5,11.23,,3.0,10.0,sirvaliant-brown
162,2002,12288,Brian,Brown,Brian Brown,PG-SG,74.5,6' 2.5'',,,194.0,79.0,6' 7'',99.0,8' 3'',,,,26.0,33.0,11.43,,3.29,8.0,brian-brown
163,2004,2810,Andre,Brown,Andre Brown,PF-C,80.0,6' 8'',81.5,6' 9.5'',236.0,83.0,6' 11'',107.0,8' 11'',6.0,,,32.0,35.5,11.7,,3.22,18.0,andre-brown
164,2005,200793,Dee,Brown,Dee Brown,PG-SG,71.0,5' 11'',72.0,6' 0'',179.0,74.0,6' 2'',94.0,7' 10'',,,,,,,,,,dee-brown
165,2006,200787,Denham,Brown,Denham Brown,SG-SF,76.0,6' 4'',77.0,6' 5'',218.0,81.5,6' 9.5'',102.5,8' 6.5'',9.0,,,28.0,34.5,11.42,,3.25,12.0,denham-brown
166,2007,201628,Bobby,Brown,Bobby Brown,PG,71.0,5' 11'',73.75,6' 1.75'',170.0,76.0,6' 4'',95.5,7' 11.5'',6.6,,,32.5,41.0,11.27,,3.25,3.0,bobby-brown
167,2008,12241,Takais,Brown,Takais Brown,PF,79.25,6' 7.25'',80.5,6' 8.5'',252.0,82.0,6' 10'',106.0,8' 10'',9.2,,,29.0,31.0,12.47,,3.25,22.0,takais-brown
168,2009,201974,Derrick,Brown,Derrick Brown,SF-PF,79.5,6' 7.5'',80.5,6' 8.5'',224.6,86.5,7' 2.5'',107.5,8' 11.5'',8.6,,,30.5,35.5,11.26,,3.13,20.0,derrick-brown
169,2012,12458,J'Covan,Brown,J'Covan Brown,PG,73.0,6' 1'',74.25,6' 2.25'',202.4,77.25,6' 5.25'',96.0,8' 0'',12.5,7.75,8.25,26.0,29.5,11.68,,3.47,3.0,jcovan-brown
170,2013,203485,Lorenzo,Brown,Lorenzo Brown,PG,76.0,6' 4'',77.25,6' 5.25'',189.2,79.0,6' 7'',100.0,8' 4'',3.95,8.25,8.5,28.0,34.0,11.78,3.24,3.4,8.0,lorenzo-brown
171,2018,1628971,Bruce,Brown,Bruce Brown,SG-PG,75.5,6' 3.5'',77.0,6' 5'',194.6,81.0,6' 9'',98.5,8' 2.5'',3.75,8.5,8.5,32.5,38.0,11.11,3.44,3.2,17.0,bruce-brown
172,2018,1628972,Troy,Brown,Troy Brown,SF,77.75,6' 5.75'',78.75,6' 6.75'',208.0,82.25,6' 10.25'',105.0,8' 9'',7.05,9.0,9.75,26.0,33.0,11.51,3.29,3.33,5.0,troy-brown
173,2014,203913,Jabari,Brown,Jabari Brown,SG,75.0,6' 3'',76.25,6' 4.25'',201.9,80.25,6' 8.25'',100.0,8' 4'',6.05,9.0,9.25,28.0,32.0,11.6,3.26,3.5,,jabari-brown
174,2014,203900,Markel,Brown,Markel Brown,SG,74.5,6' 2.5'',75.5,6' 3.5'',184.4,80.75,6' 8.75'',100.0,8' 4'',4.2,8.25,9.75,36.5,43.5,12.62,2.9,3.18,,markel-brown
175,2014,203938,Alec,Brown,Alec Brown,PF,84.25,7' 0.25'',85.25,7' 1.25'',231.2,85.5,7' 1.5'',109.0,9' 1'',7.7,9.25,8.75,27.0,30.0,12.05,2.91,3.48,,alec-brown
176,2015,1626148,Anthony,Brown,Anthony Brown,SF-SG,77.75,6' 5.75'',79.25,6' 7.25'',211.0,83.0,6' 11'',104.5,8' 8.5'',6.1,8.5,9.0,27.5,34.5,10.94,3.29,3.18,4.0,anthony-brown
177,2016,1627759,Jaylen,Brown,Jaylen Brown,SG-SF,77.25,6' 5.25'',78.75,6' 6.75'',222.8,83.75,6' 11.75'',102.5,8' 6.5'',5.05,8.75,9.0,,,,,,,jaylen-brown
178,2019,1629650,Moses,Brown,Moses Brown,C,85.25,7' 1.25'',86.5,7' 2.5'',237.2,88.75,7' 4.75'',113.0,9' 5'',7.8,9.5,10.25,27.0,31.0,11.95,3.3,3.51,,moses-brown
179,2008,201812,Keith,Brumbaugh,Keith Brumbaugh,SF-PF,79.5,6' 7.5'',80.75,6' 8.75'',190.0,79.25,6' 7.25'',104.5,8' 8.5'',4.0,,,26.0,27.0,11.65,,3.28,2.0,keith-brumbaugh
180,2018,1628973,Jalen,Brunson,Jalen Brunson,PG,73.0,6' 1'',74.25,6' 2.25'',198.4,76.0,6' 4'',96.0,8' 0'',6.7,8.25,9.25,29.0,37.0,10.59,3.11,3.15,7.0,jalen-brunson
181,2002,12289,Sylvere,Bryan,Sylvere Bryan,PF,81.0,6' 9'',,,226.0,88.5,7' 4.5'',109.5,9' 1.5'',,,,28.5,29.5,12.03,,3.2,13.0,sylvere-bryan
182,2017,1628418,Thomas,Bryant,Thomas Bryant,PF-C,81.5,6' 9.5'',82.75,6' 10.75'',247.8,90.0,7' 6'',112.5,9' 4.5'',9.4,9.5,10.25,25.5,33.0,11.42,3.12,3.37,7.0,thomas-bryant
183,2006,12125,Brad,Buckman,Brad Buckman,PF,79.25,6' 7.25'',80.75,6' 8.75'',238.0,84.0,7' 0'',107.5,8' 11.5'',10.5,,,25.5,30.5,12.26,,3.54,10.0,brad-buckman
184,2009,201978,Chase,Budinger,Chase Budinger,SF-SG,78.25,6' 6.25'',79.0,6' 7'',206.4,79.0,6' 7'',101.0,8' 5'',10.0,,,29.5,38.5,11.08,,3.24,10.0,chase-budinger
185,2012,203733,William,Buford,William Buford,SG-SF,76.0,6' 4'',77.0,6' 5'',214.6,81.5,6' 9.5'',102.0,8' 6'',11.3,8.75,10.0,27.5,32.5,11.4,,3.43,8.0,william-buford
186,2013,203493,Reggie,Bullock,Reggie Bullock,SG-SF,77.75,6' 5.75'',79.0,6' 7'',199.8,80.75,6' 8.75'',102.0,8' 6'',6.95,8.5,9.0,31.0,36.5,11.33,3.3,3.31,11.0,reggie-bullock
187,2002,12290,Chris,Burgess,Chris Burgess,C,82.0,6' 10'',,,246.0,83.5,6' 11.5'',109.0,9' 1'',,,,24.5,31.0,11.58,,3.37,24.0,chris-burgess
188,2013,203504,Trey,Burke,Trey Burke,PG,71.75,5' 11.75'',73.25,6' 1.25'',187.0,77.5,6' 5.5'',97.5,8' 1.5'',6.9,8.25,8.75,29.5,36.5,11.2,3.01,3.16,3.0,trey-burke
189,2004,2766,Antonio,Burks,Antonio Burks,PG,72.0,6' 0'',72.75,6' 0.75'',191.0,78.5,6' 6.5'',96.5,8' 0.5'',9.9,,,,,,,,9.0,antonio-burks
190,2011,202692,Alec,Burks,Alec Burks,SG,77.0,6' 5'',78.0,6' 6'',192.6,82.0,6' 10'',103.5,8' 7.5'',5.1,9.0,8.25,29.0,36.0,10.96,,3.17,5.0,alec-burks
191,2008,201868,Stanley,Burrell,Stanley Burrell,PG,73.5,6' 1.5'',74.5,6' 2.5'',201.0,78.25,6' 6.25'',97.5,8' 1.5'',5.6,,,29.5,34.5,11.19,,3.19,21.0,stanley-burrell
192,2014,203907,Deonte,Burton,Deonte Burton,PG,72.0,6' 0'',73.25,6' 1.25'',192.8,79.0,6' 7'',97.5,8' 1.5'',7.65,8.25,8.0,29.0,39.5,11.28,3.08,3.28,,deonte-burton
193,2008,12242,Brian,Butch,Brian Butch,C-PF,81.5,6' 9.5'',83.0,6' 11'',229.6,83.25,6' 11.25'',108.0,9' 0'',10.8,,,24.0,26.5,11.87,,3.52,9.0,brian-butch
194,2002,2406,Caron,Butler,Caron Butler,SF-SG,77.25,6' 5.25'',,,222.0,83.5,6' 11.5'',103.5,8' 7.5'',,,,27.0,31.0,12.15,,3.33,2.0,caron-butler
195,2002,2446,Rasual,Butler,Rasual Butler,SF,78.75,6' 6.75'',,,198.0,84.0,7' 0'',105.5,8' 9.5'',,,,31.5,37.5,11.54,,3.29,10.0,rasual-butler
196,2004,2866,Jackie,Butler,Jackie Butler,C,80.0,6' 8'',81.5,6' 9.5'',263.0,85.5,7' 1.5'',109.0,9' 1'',16.3,,,23.0,25.0,13.32,,3.4,14.0,jackie-butler
197,2008,12243,Jamar,Butler,Jamar Butler,PG,72.25,6' 0.25'',73.5,6' 1.5'',182.0,76.75,6' 4.75'',97.0,8' 1'',6.0,,,,,,,,15.0,jamar-butler
198,2011,202710,Jimmy,Butler,Jimmy Butler,SF,78.0,6' 6'',79.75,6' 7.75'',222.2,79.5,6' 7.5'',101.5,8' 5.5'',5.4,9.0,9.0,32.0,39.0,11.12,,3.15,14.0,jimmy-butler
199,2005,101198,Will,Bynum,Will Bynum,PG-SG,70.5,5' 10.5'',71.5,5' 11.5'',188.8,75.5,6' 3.5'',93.0,7' 9'',,,,33.0,40.5,11.12,,3.0,15.0,will-bynum
200,2008,12244,Pat,Calathes,Pat Calathes,SF-PF,80.75,6' 8.75'',81.75,6' 9.75'',204.0,81.75,6' 9.75'',106.0,8' 10'',7.3,,,,,,,,7.0,pat-calathes
201,2013,203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,SG,76.5,6' 4.5'',77.5,6' 5.5'',203.6,80.0,6' 8'',100.5,8' 4.5'',6.45,8.5,9.0,29.0,34.5,10.6,3.2,3.12,7.0,kentavious-caldwell-pope
202,2003,12295,Souleymane,Camara,Souleymane Camara,PF-SF,81.75,6' 9.75'',,,211.0,86.25,7' 2.25'',109.0,9' 1'',9.9,,,28.5,34.5,11.51,,3.2,2.0,souleymane-camara
203,2005,12106,Marcus,Campbell,Marcus Campbell,C,82.25,6' 10.25'',84.25,7' 0.25'',280.4,90.0,7' 6'',114.0,9' 6'',,,,,,,,,9.0,marcus-campbell
204,2013,203477,Isaiah,Canaan,Isaiah Canaan,PG,71.0,5' 11'',72.0,6' 0'',188.4,76.5,6' 4.5'',94.5,7' 10.5'',5.9,8.25,9.5,33.0,40.5,10.98,2.89,3.22,16.0,isaiah-canaan
205,2006,12126,Nik,Caner-Medley,Nik Caner-Medley,SF,78.5,6' 6.5'',80.0,6' 8'',234.0,81.0,6' 9'',103.0,8' 7'',9.6,,,28.5,35.5,10.57,,3.21,17.0,nik-caner-medley
206,2004,12175,Aleksandar,Capin,Aleksandar Capin,PG,72.0,6' 0'',73.25,6' 1.25'',176.0,73.5,6' 1.5'',94.0,7' 10'',9.3,,,23.0,29.0,11.5,,3.27,4.0,aleksandar-capin
207,2010,202382,Derrick,Caracter,Derrick Caracter,PF,80.25,6' 8.25'',81.5,6' 9.5'',280.0,84.25,7' 0.25'',107.5,8' 11.5'',12.8,9.0,10.25,25.0,30.5,12.78,,3.61,22.0,derrick-caracter
208,2013,203478,Jackie,Carmichael,Jackie Carmichael,PF,79.5,6' 7.5'',81.0,6' 9'',241.2,85.5,7' 1.5'',107.0,8' 11'',5.8,9.0,10.25,30.0,32.0,11.83,3.07,3.35,13.0,jackie-carmichael
209,2006,200760,Rodney,Carney,Rodney Carney,SG-SF,76.5,6' 4.5'',77.75,6' 5.75'',204.0,82.0,6' 10'',103.5,8' 7.5'',5.3,,,32.0,38.5,10.57,,3.06,10.0,rodney-carney
210,2018,1628974,Tony,Carr,Tony Carr,PG,75.0,6' 3'',76.5,6' 4.5'',198.8,80.25,6' 8.25'',100.0,8' 4'',6.5,8.5,9.75,25.0,31.5,11.89,3.4,3.17,0.0,tony-carr
211,2001,12032,Ryan,Carroll,Ryan Carroll,SF-SG,76.0,6' 4'',,,202.0,80.25,6' 8.25'',99.0,8' 3'',8.0,,,34.5,39.0,11.0,,3.1,14.0,ryan-carroll
212,2003,2679,Matt,Carroll,Matt Carroll,SG-SF,77.0,6' 5'',,,207.0,78.5,6' 6.5'',98.5,8' 2.5'',6.7,,,29.0,33.5,11.11,,3.35,13.0,matt-carroll
213,2009,201960,DeMarre,Carroll,DeMarre Carroll,PF-SF,78.25,6' 6.25'',79.75,6' 7.75'',207.2,82.0,6' 10'',105.0,8' 9'',6.3,,,,,,,,,demarre-carroll
214,2007,201469,Russell,Carter,Russell Carter,SG,75.0,6' 3'',76.5,6' 4.5'',221.0,80.5,6' 8.5'',97.5,8' 1.5'',6.0,,,33.0,38.5,11.61,,3.29,25.0,russell-carter
215,2018,1628975,Jevon,Carter,Jevon Carter,PG,72.25,6' 0.25'',73.5,6' 1.5'',196.2,76.25,6' 4.25'',95.0,7' 11'',4.15,9.25,8.5,29.0,36.5,11.04,3.05,3.18,14.0,jevon-carter
216,2018,1628976,Wendell,Carter,Wendell Carter,C-PF,80.75,6' 8.75'',82.0,6' 10'',251.4,88.5,7' 4.5'',109.0,9' 1'',7.85,8.5,9.0,,,,,,,wendell-carter
217,2013,203487,Michael,Carter-Williams,Michael Carter-Williams,PG,76.75,6' 4.75'',77.75,6' 5.75'',184.4,79.25,6' 7.25'',101.0,8' 5'',4.4,7.5,8.5,31.5,41.0,10.68,3.7,3.22,8.0,michael-carter-williams
218,2009,201956,Omri,Casspi,Omri Casspi,SF,79.75,6' 7.75'',81.25,6' 9.25'',211.2,81.25,6' 9.25'',106.5,8' 10.5'',8.6,,,25.5,32.5,11.15,,3.28,2.0,omri-casspi
219,2015,1626161,Willie,Cauley-Stein,Willie Cauley-Stein,C,83.25,6' 11.25'',84.5,7' 0.5'',242.4,87.0,7' 3'',111.0,9' 3'',6.3,9.5,9.0,,,,,,,willie-cauley-stein
220,2004,12176,Ales,Chan,Ales Chan,C,84.0,7' 0'',86.0,7' 2'',255.0,87.0,7' 3'',113.0,9' 5'',14.8,,,21.0,29.0,12.9,,3.62,2.0,ales-chan
221,2001,2199,Tyson,Chandler,Tyson Chandler,SF-PF,83.5,6' 11.5'',,,224.0,87.0,7' 3'',110.0,9' 2'',6.7,,,31.0,33.5,12.13,,3.36,2.0,tyson-chandler
222,2002,12291,Mire,Chatman,Mire Chatman,PG-SG,72.0,6' 0'',,,174.0,78.0,6' 6'',98.0,8' 2'',,,,29.0,33.0,11.12,,3.18,1.0,mire-chatman
223,2001,2251,Eric,Chenowith,Eric Chenowith,C,85.0,7' 1'',,,264.0,88.0,7' 4'',111.0,9' 3'',12.9,,,23.5,27.5,12.5,,3.59,6.0,eric-chenowith
224,2004,2735,Josh,Childress,Josh Childress,SG-SF,77.75,6' 5.75'',79.25,6' 7.25'',196.0,83.0,6' 11'',105.0,8' 9'',9.3,,,29.0,36.0,11.95,,3.38,11.0,josh-childress
225,2020,1630213,Yoeli,Childs,Yoeli Childs,PF,78.0,6'6.00'',79.0,6'7.00'',226.4,83.5,6'11.50'',106.0,8'10.00'',8.2,8.75,10.0,34.0,38.5,10.87,2.42,3.22,,yoeli-childs
226,2016,1627737,Marquese,Chriss,Marquese Chriss,PF,80.75,6' 8.75'',82.0,6' 10'',233.0,84.25,7' 0.25'',105.0,8' 9'',8.5,9.0,9.0,32.5,38.5,11.93,3.05,3.26,,marquese-chriss
227,2009,12275,Dionte,Christmas,Dionte Christmas,SG,76.25,6' 4.25'',77.5,6' 5.5'',210.8,81.0,6' 9'',102.5,8' 6.5'',7.1,,,27.0,33.5,10.83,,3.21,3.0,dionte-christmas
228,2015,1626176,Rakeem,Christmas,Rakeem Christmas,PF-C,80.25,6' 8.25'',81.75,6' 9.75'',242.6,89.25,7' 5.25'',110.5,9' 2.5'',9.6,9.25,9.0,29.0,32.0,11.6,3.3,3.47,9.0,rakeem-christmas
229,2002,12042,Chris,Christoffersen,Chris Christoffersen,C,84.75,7' 0.75'',,,291.0,87.5,7' 3.5'',109.0,9' 1'',,,,28.0,31.0,12.55,,3.39,13.0,chris-christoffersen
230,2014,203902,Semaj,Christon,Semaj Christon,PG,73.5,6' 1.5'',75.25,6' 3.25'',186.0,78.5,6' 6.5'',99.0,8' 3'',5.25,8.5,8.25,30.5,36.5,11.55,3.21,3.32,,semaj-christon
231,2001,2439,Sam,Clancy,Sam Clancy,PF,78.25,6' 6.25'',,,242.0,86.75,7' 2.75'',107.0,8' 11'',8.0,,,31.0,34.0,11.47,,3.13,15.0,sam-clancy
232,2006,12127,Keydren,Clark,Keydren Clark,PG,69.0,5' 9'',70.25,5' 10.25'',184.0,74.5,6' 2.5'',92.5,7' 8.5'',11.6,,,31.0,34.0,11.03,,3.11,13.0,keydren-clark
233,2009,201947,Earl,Clark,Earl Clark,SF-PF,80.5,6' 8.5'',82.25,6' 10.25'',228.4,86.5,7' 2.5'',109.5,9' 1.5'',5.2,,,28.5,33.0,11.17,,3.35,5.0,earl-clark
234,2019,1629634,Brandon,Clarke,Brandon Clarke,SF,79.25,6' 7.25'',80.25,6' 8.25'',207.2,80.25,6' 8.25'',102.0,8' 6'',4.9,8.25,9.5,34.0,40.5,10.61,3.05,3.15,10.0,brandon-clarke
235,2014,203903,Jordan,Clarkson,Jordan Clarkson,PG,75.25,6' 3.25'',77.0,6' 5'',186.3,80.0,6' 8'',98.0,8' 2'',4.3,8.25,9.0,33.0,38.5,10.76,2.98,3.28,,jordan-clarkson
236,2000,2049,Speedy,Claxton,Speedy Claxton,PG,70.5,5' 10.5'',,,166.0,72.0,6' 0'',94.5,7' 10.5'',,,,36.0,42.5,10.48,,3.06,6.0,speedy-claxton
237,2019,1629651,Nicolas,Claxton,Nicolas Claxton,C,82.0,6' 10'',83.75,6' 11.75'',216.6,86.5,7' 2.5'',110.0,9' 2'',4.5,9.25,9.5,31.5,36.5,11.26,3.47,3.36,8.0,nicolas-claxton
238,2001,12036,Gyasi,Cline-Heard,Gyasi Cline-Heard,PF,78.25,6' 6.25'',,,231.0,83.5,6' 11.5'',103.0,8' 7'',8.0,,,31.5,34.5,11.4,,3.23,11.0,gyasi-cline-heard
239,2013,12524,Will,Clyburn,Will Clyburn,SF-SG,77.75,6' 5.75'',79.0,6' 7'',210.4,84.25,7' 0.25'',105.0,8' 9'',6.85,9.25,10.25,28.0,34.5,11.68,3.12,3.38,3.0,will-clyburn
240,2011,202708,Norris,Cole,Norris Cole,PG,72.25,6' 0.25'',73.75,6' 1.75'',174.4,74.25,6' 2.25'',95.5,7' 11.5'',4.7,8.5,9.5,29.5,38.5,10.07,,3.22,11.0,norris-cole
241,2000,12132,Eric,Coley,Eric Coley,SG-SF,76.0,6' 4'',,,205.0,83.0,6' 11'',102.0,8' 6'',,,,35.0,38.0,11.4,,3.15,10.0,eric-coley
242,2001,2215,Jason,Collins,Jason Collins,PF-C,82.25,6' 10.25'',,,251.0,88.5,7' 4.5'',110.0,9' 2'',12.9,,,25.5,28.5,12.1,,3.54,8.0,jason-collins
